2025-05-14 10:08:01,027 INFO    MainThread:2172 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_setup.py:_flush():70] Configure stats pid to 2172
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_setup.py:_flush():70] Loading settings from /root/.config/wandb/settings
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_setup.py:_flush():70] Loading settings from /root/audio-transformers/whisper_finetune/wandb/settings
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /root/audio-transformers/whisper_finetune/wandb/run-20250514_100801-pl0tr33c/logs/debug.log
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /root/audio-transformers/whisper_finetune/wandb/run-20250514_100801-pl0tr33c/logs/debug-internal.log
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_init.py:init():852] calling init triggers
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'learning_rate': 3e-05, 'epochs': 10, 'batch_size': 5, 'emotion_weight': 0.5, 'simple_styles': False, 'data_percentage': 0.1, '_wandb': {}}
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_init.py:init():893] starting backend
2025-05-14 10:08:01,028 INFO    MainThread:2172 [wandb_init.py:init():897] sending inform_init request
2025-05-14 10:08:01,036 INFO    MainThread:2172 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-14 10:08:01,036 INFO    MainThread:2172 [wandb_init.py:init():907] backend started and connected
2025-05-14 10:08:01,041 INFO    MainThread:2172 [wandb_init.py:init():1005] updated telemetry
2025-05-14 10:08:01,610 INFO    MainThread:2172 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-14 10:08:02,191 INFO    MainThread:2172 [wandb_init.py:init():1104] starting run threads in backend
2025-05-14 10:08:02,567 INFO    MainThread:2172 [wandb_run.py:_console_start():2573] atexit reg
2025-05-14 10:08:02,568 INFO    MainThread:2172 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-14 10:08:02,569 INFO    MainThread:2172 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-14 10:08:02,569 INFO    MainThread:2172 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-14 10:08:02,573 INFO    MainThread:2172 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-14 10:11:43,608 INFO    MsgRouterThr:2172 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
