2025-05-14 11:19:26,788 INFO    MainThread:4690 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_setup.py:_flush():70] Configure stats pid to 4690
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_setup.py:_flush():70] Loading settings from /root/.config/wandb/settings
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_setup.py:_flush():70] Loading settings from /root/audio-transformers/whisper_finetune/wandb/settings
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /root/audio-transformers/whisper_finetune/wandb/run-20250514_111926-6ztq2crk/logs/debug.log
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /root/audio-transformers/whisper_finetune/wandb/run-20250514_111926-6ztq2crk/logs/debug-internal.log
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_init.py:init():852] calling init triggers
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'learning_rate': 3e-05, 'epochs': 10, 'batch_size': 5, 'emotion_weight': 0.5, 'simple_styles': False, 'data_percentage': 0.1, '_wandb': {}}
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_init.py:init():893] starting backend
2025-05-14 11:19:26,789 INFO    MainThread:4690 [wandb_init.py:init():897] sending inform_init request
2025-05-14 11:19:26,797 INFO    MainThread:4690 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-14 11:19:26,797 INFO    MainThread:4690 [wandb_init.py:init():907] backend started and connected
2025-05-14 11:19:26,802 INFO    MainThread:4690 [wandb_init.py:init():1005] updated telemetry
2025-05-14 11:19:27,384 INFO    MainThread:4690 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-14 11:19:27,675 INFO    MainThread:4690 [wandb_init.py:init():1104] starting run threads in backend
2025-05-14 11:19:28,097 INFO    MainThread:4690 [wandb_run.py:_console_start():2573] atexit reg
2025-05-14 11:19:28,098 INFO    MainThread:4690 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-14 11:19:28,099 INFO    MainThread:4690 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-14 11:19:28,099 INFO    MainThread:4690 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-14 11:19:28,102 INFO    MainThread:4690 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-14 11:19:44,327 INFO    MsgRouterThr:4690 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
